featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_dateresponse
0,0,1,"July 22, 2015",17:26:06,Love it more all the time,,,Current Employee ,full-time,,24,"GitHub is a fantastic place to work. 

The people are what make it. While I've been at GitHub, I've had incredible conversations about how to be a better person, how to encourage more women to enter tech, and how to make the open source community a better place. All of these conversations have so far been informal and outside of GitHub's larger strategies for social impact. I'm just happy to work among such thoughtful people. 

It's been great to get to know my coworkers even though I'm working remotely. It's hard sometimes, but I feel like GitHub gives remote employees many opportunities to meet each other and feel like they're still part of the team. If I start feeling weird or excluded, I can express that and something will change to make me feel more included. I also know I can take a trip to San Francisco and work with my team for a week or two. 

Finally, it doesn't hurt that the benefits are insane. There are a few I haven't even taken advantage of, yet, because they seem so extravagant. I feel taken care of to say the least.","There is some tension as the company grows and changes. People who've been working at GitHub for a while seem to sense that it is losing something—it's open culture, maybe. I think there are people who are actively fighting against this loss, and overall it is heading in the right direction. It does cause some awkwardness, though, and I do hope we can maintain what people feel was so special.

As I said, working remotely is tough. Sometimes I feel like I would be better at my job if I worked at HQ, just for the exposure to serendipitous interactions and the ability to yell across the room at my coworkers.","Encourage and maintain communication. In fact, over-communicate whenever possible. I think that would help the company feel more unified, and prevent the communication fails that happen now and then.",5.0,5.0,4.0,,5.0,5.0,4.0,Recommends,Positive Outlook,,
0,0,0,"June 8, 2015",23:52:57,"Great company, great colleagues, great :heart:", Software Engineer,"Remote, OR",Current Employee ,full-time, more than a year,23,"The best part about working at GitHub is the great colleagues! They are uniformly friendly, super talented, and have a positive, supportive attitude. All the engineers I have worked with have been really motivated and produce high-quality work.

A majority of GitHub employees work remotely; some in small satellite offices but most at home/cafes/shared office space/whatever. Because of this, the company goes to a lot of effort to make remote work effective. Communications are largely asynchronous (e.g., via GitHub issues and pull requests), most meetings are streamed and recorded, and there are lots of chances to meet other GitHubbers when necessary: the annual company summit, mini-summits for departments or teams kicking off a project, plus we are welcome to travel to visit HQ or other GitHubbers when we feel the urge to connect. Most ""synchronous"" discussion takes place in online chat, though even here transcripts are kept for anybody to read. Time zones can be a real hassle but otherwise it all works quite well. It's so awesome being able to work for a San Francisco-based company while being able to live almost anywhere!

The company is very transparent. Many company-wide issues are discussed in the open, and anybody's input is welcome.

Until the beginning of 2014, GitHub didn't have any formal management structure to speak of. The result was predictable: people worked on what they found exciting, but it was hard to gather critical mass to implement large-scale projects. Since then people-managers have been introduced, which has improved the company focus. So far management has used a relatively light touch. In particular, work is still mostly organized by the engineers working on it rather than top-down by management. In my opinion the introduction of management has improved the company, though it has definitely caused a shift in the culture.

GitHub the company also seems to have a good heart. As far as I can tell, everybody at the company from top to bottom is really trying hard to do the right thing:

* There is a constant internal dialog about how to improve diversity, both within GitHub (e.g., by doing everything we can to eliminate bias in our recruiting processes) and also within the whole industry (for example by supporting organizations and events that are targeted at underrepresented groups). This isn't just an HR goal; we are all thinking about it.
* We do everything we can to support open-source software. Most obviously, we provide free Git hosting to open-source projects, and we give our free users every bit the same level of support as we give to our paying customers. We contribute internally-developed code to upstream open-source projects as much as possible. We have ""open-source Fridays"" twice a month when GitHubbers are encouraged to work on open source projects. We sponsor many open-source conferences and other events.
* GitHub promotes a healthy work-life balance. I guess (being alpha-geeks) a lot of us work too many hours. But that pressure doesn't come from the company. I've never seen anything but encouragement for people announcing vacation (which is unlimited) or taking parental leave (4 months PTO for new parents).

Finally, it's great to build a product that millions of people use and love. It's a pleasure to run into GitHub users in real life because they are so positive about the company. We're helping to propagate the open-source ethos:

* We provide a great place for open-source projects to host their code.
* Companies use GitHub to promote code-sharing and communal development internally, and often to open-source internal projects.
* There are even governments that put draft legislation in GitHub and allow citizens to propose pull requests to change it.

Reading back over what I've written, it sounds like I'm a marketing shill. But in fact I'm just a very happy software engineer. After nearly two years at the company I am still almost giddy that I get to work at GitHub.","Remote work impedes serendipitous communication. It's an effort to keep up with what is happening in the rest of the company when you don't bump into your colleagues in the kitchen or in the elevator.

As a hangover from the management-free days, it can sometimes still be hard to figure out who is in charge of what.","With employees the caliber of GitHub's, a little management goes a long way. Be careful not to allow management to grow into a separate caste. Especially, don't let it evolve into a dynamic where edicts flow down and no information/feedback flows up. (So far it's not a problem, but it is a risk.)",5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,1,"July 18, 2015",08:10:50,Incredible place to work,,"San Francisco, CA",Current Employee ,full-time, more than 3 years,9,"I get paid extremely well to work with caring people on challenging engineering problems for a product that I believe in from the comfort of my home office. Oh, and that product is GitHub! This is the best job I've ever had.","GitHub is growing rapidly, so there's a lot to do. It's easy to overcommit yourself into a bad work/life balance, or find yourself in need of work from an overloaded team. As long as you're mindful of those edges and ensure you're working on important things, you can create quite a place for yourself here.",Stay visible. I'd specifically enjoy more communication from our nascent Engineering Management team.,5.0,3.0,4.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,0,"August 5, 2015",16:09:11,Marketing Consultant,Marketing Consultant,"San Francisco, CA",,, less than a year,3,"Management is open to new ideas, quick growth, opportunity to have a fingerprint in company.",Very Broad. Hard to keep up with everything that is happening in the company.,"Keep investing in culture of the workplace, positivity, gender equality, and diversity.",5.0,5.0,4.0,,3.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,1,"May 27, 2015",21:32:18,dream come true....,,"San Francisco, CA",Current Employee ,full-time, more than a year,13,"I had spoken to 10 Hubbers by the time I was done interviewing. Everyone was so passionate and enthusiastic. I left my final interview day completely on cloud 9 because I knew how much a career opportunity here would change my life...and two years later it's absolutely exceeded expectations. Even on my most stressful days - I never ""hate my job""...it's been incredibly rewarding in every way.","To be honest, the only cons I can think of are a couple individuals who were/are unpleasant to work with. Bad attitudes, sense of entitlement, poor communication...but I think that's inevitable and expected at every company, sadly. Gotta keep moving forward!",,5.0,5.0,4.0,,5.0,5.0,4.0,Recommends,Positive Outlook,,
0,0,0,"June 10, 2015",09:59:17,Enterprise Sales, Enterprise Sales,"San Francisco, CA",Current Employee ,full-time, less than a year,9,"- Great culture across the company. Unique in our approach around diversity and inclusion
- Best sales leadership experience I've had in my 15 years of selling. 
- Ramp and quota are realistic and attainable.
- We have a 10,000,000+ user community who are passionate about GitHub. Growing by 10,000 - 15,000 users per day. Understatement here but this helps you sell when you get in the room.
- Awesome people. 
- Engineering, Support and SEs are extremely helpful and actively contribute to the sales process.
- Great work/life balance. I have a young family and my spouse works full time. We are able to balance our responsibilities better than any other environment I've had a chance to work in before. I work a lot but it does not impact my excitement for the job or my priorities around family/friends.","- GitHub has been around for several years but sales as a structured group was just created a couple quarters back. While we are crushing our # it is going to take us a while to build out process and have enough data to fully understand our business.
- I have not seen it yet but I am sure many of the typical growing pains will arise in a young, growing sales organization.",- Not really. Creating and developing an amazing culture of success and learning will always be a work-in-progress. I appreciate the amount of time our executive team invests in trying to get this right.,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,0,"May 29, 2015",19:56:06,Engineering, Engineer,"San Francisco, CA",Current Employee ,full-time,,11,"My peers here are incredibly smart, talented, knowledgeable, experienced, eager to share and help, and a joy to work with. Ignoring the excellent compensation and benefits, and developing career opportunities, these people alone are worth working at GitHub for. The product is constantly getting better and the people here care intensely about continuing that trend.","Organizational changes have been slow and a bit rocky. Many I've spoken to have reported bad experiences with managers or peers, though most others are perfectly happy, growing, etc. Business strategy communication is weak, making it harder to sync up with leadership.","Transparency is a cultural cornerstone. If you are changing that (or any other cultural facet), be deliberate and explicit about it.",5.0,4.0,4.0,,4.0,5.0,4.0,Recommends,Positive Outlook,,
0,0,1,"May 19, 2015",11:42:28,SF's Best Kept Secret,,"San Francisco, CA",Current Employee ,full-time, less than a year,12,"It's hard to tell what working at GitHub would be like from simply reviewing external sources. We don't have much of a presence outside of the walls we work in when it comes to Glassdoor, Linkedin and other sites that potential employees do the usual poking around in before they apply. I was cautious to throw my name into the hat for these very reasons. 

Each article I pulled up was outdated and a lot of the information I was able to obtain was from unreliable sources, or went against everything that I felt could be true after talking with the team and meeting them in person. Was GitHub just really good at making me think they were an awesome company, or were they really as awesome as they seemed to be, but never cared to tell people about it? 

After joining the team (one of the best decisions I have made in my career), I can now tell you with confidence that it is because word simply never got out about just how great being a GitHubber truly is. 

- Work with people who still have passion. With the flexible hours and unlimited vacation, I was finally able to join a team that not only worked hard, but had yet to be completely burned out. 
- Put your family first. GitHub gets it. We all have lived outside of work and they understand that these lives take precedent over something 9-5. They offer maternity and paternity leave, which I was thrilled to hear about. 
- Dogs at work. If you have a dog, this is heaven. If you don't, even better. You can play with someone else's and then say goodbye when you leave for home. 
- Flexibility with what you do and how you do it. Take on those additional projects and offer your extra time to different teams. They encourage cross team training and the company is small enough to make it a reality. 
- Remote but united. A lot of the company works remote, but with team summits and the companies annual summit, you get plenty of face time with the people you work with. 
- My rant could go on forever, but trust me, there are so many more pros to working here.","- Not a ton of information on all of the great diversity initiatives this company is taking on, but I am sure that will change in the following months. 
- The outdated information you see online is not accurate and should be modified to reflect this.","- It is really cool to work at a startup that is beginning to see the value of structure in the workplace. As teams continue to grow and opportunities continue to emerge, I think GitHub will have the opportunity to accomplish some incredible things in the following years.",5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,0,"May 31, 2015",21:01:46,Amazing Time to Join an Awesome Company,Technical Customer Support,"Los Angeles, CA",,, less than a year,8,"GitHub is a successful, profitable company full of incredibly passionate and thoughtful people committed to making the products and the people the best they can be. The internal focus on diversity, professional development, and personal fulfillment is something I have never seen or heard of at any company before. GitHub is growing into a mature, forward-thinking tech company that's working hard to bring in more and more of the most talented and diverse engineers, salespeople, customer supportocats, and admin staff... it's truly impressive and exciting to know that I have the privilege to be part of this awesome team and company.

On top of all of that, pay is competitive and benefits are out of this world. Seriously nothing more I could ask for.","With rapid growth comes rapid change and some growing pains. It seems harder for some people to adjust than others, but overall everything seems to be heading in a really positive direction as long as you keep an open mind.","Keep doing what you're doing and stay transparent about everything.. financials, diversity initiatives, product roadmaps... I think that's a big part of what makes people excited to work every day.",5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,0,"June 12, 2015",09:56:41,Full Time and LOVING IT,Sales,,,,,3,"I absolutely love the collaborative culture and insight into what the engineering teams are working on. It's incredible to be working at a company that fully uses what we sell. I love how quickly ideas are turned into reality, and the visibility across the board. Even though our company is pretty highly dispersed around the globe, there's a definite ""GitHub Family"" vibe. There's great work-life balance, and awesome flexibility to move within the company.","Since the company is relatively young, we're just starting to build a structured management and sales organization.",None,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,0,"June 2, 2015",12:31:09,Engineering, Software Engineer,,Current Employee ,full-time, more than 3 years,12,"Since joining GitHub I've felt like I'm helping change the world for the better. We're making it easier for people everywhere to build software together and that is really exciting to me. 

GitHub did a lot of growing up in 2014 and 2015 and I'm more excited now about the future than I was a year and a half ago. We have a ton of room to learn and grow right now and I'm excited that we're taking every opportunity to do that rather than staying mired in our past.

My coworkers are great and I enjoy showing up to work every day. We get to solve hard problems while serving real customer needs.","We are still working through a lot of institutional debt that I believe was the result of our leaders not being sensitive to changing needs and not seeking mentorship as the company grew.

We were slow to grow our HR department and we were slow to adopt managers and career growth paths. This resulted in a lot of growing pains but I think we're past the worst of them.

Our engineering organization had virtually zero leadership before mid-2014 and this resulted in many killed projects, demoralized people, and general discontent. We're mostly past that now but the scars will last for years.

There is still a dearth of great managers but we are actively searching so I am hoping this will change for the better quickly.","Find great managers and stop promoting veteran engineers to management positions just because they are veterans.

Help people succeed that are trying but struggling.

Fire people who make no effort to find success.",4.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Positive Outlook,,
0,0,0,"May 29, 2015",13:54:45,Sales,,"San Francisco, CA",,,,6,Life changing job. So many kind and talented people that work here. The sales team is still earning the trust of the engineering side of things but I think we're doing a great job. It's pretty easy selling a product that pretty much sells itself,The only con and non-5 start review is work/life balance. I want it to be clear that this is in no way against the company but my personality. There is so much to do and get done that I tend to lose site of the work/life balance. Everyone encourages people to take time off and it's kind of a ghost town around 5 in the office which is not the norm for me.,I love how most decisions are made from the ground up an openly discussed in issues. Please don't change!,5.0,4.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,0,"May 29, 2015",10:16:06,Nothing but GitHub Love, Lead Recruiter,"San Francisco, CA",Current Employee ,full-time,,3,"I am so happy to be a part of the GitHub team. The interview process was thorough and I met quite a few of my team and my key clients in the process. I appreciated the genuine transparency and connections that I made with everyone through the process. We are building a solid product, recruiting top notch talent, and taking the time to do things right.",Rapid growth mode - which is a pro as well.,Keep the transparency. It is a unique culture created by our product. Stay true to ourselves.,5.0,5.0,5.0,,4.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,0,"December 9, 2020",04:09:58,Great workplace, Software Engineer,Alexandria,Former Employee ,full-time,,0,"Great, remote friendly, flexible, awesome team.","The only cons is that it doesn't hire from all places in the world, i had to work through third party co.",,5.0,,,,,,,,,,
0,0,0,"September 8, 2020",06:21:27,GitHub Campus Expert, Campus Expert,Bangalore,Current Employee ,part-time, less than a year,0,It is good and they are cooperative,I love working as a campus expert and am satisfied,nothing,4.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,
0,0,1,"August 25, 2020",10:24:12,Student,,,Current Employee ,full-time,,0,very good platform for learning,Nothing to say about it,,4.0,,,,,,,,,,
0,0,0,"August 18, 2020",10:46:37,Chaotic leadership and inconsistent vision, Support Engineer,,Former Employee ,full-time, more than 5 years,5,"Remote work and (at the time) competitive salary.
Looks good on your resume.
ICs are some of the most caring and talented people I had a chance to work with.","The SLT doesn't understand the product.

They burnt out any kind of good will they had post acquisition and seem intent on getting rid of any ""pre-acquisition"" employee.

 If you weren't working for Microsoft before the acquisition, it's likely your voice doesn't count. Experience is being dismissed in favour of whoever can get a hold of the CEO.

As a result, ICs are burnt out from the constant disregard, as well as the incessant change of vision and strategy.

Career path is nearly non-existent.","It's probably too late now that most employees who had expertise left or were fired, but take the time to sit down and understand the product. Don't dismiss the employees that helped create a 7 billions company.",1.0,4.0,1.0,,1.0,5.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,
0,0,0,"May 29, 2020",19:04:26,Developer Program Member,,,,,,0,It is open for all and also has so many tools and resources for developers to work on and to contribute to the open source softwares,I don't think they've missed anything they've built a great system,,5.0,5.0,5.0,,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,
0,0,0,"May 18, 2020",04:22:45,Great company with awesome tech and even more awesome people, Engineer,,Current Employee ,full-time, less than a year,0,"Fantastic people and focus on culture
Remote & work/life harmony
Great benefits
High level of autonomy and space to be creative
Surrounded by motivated and capable colleagues -> learning all the time","Uncertainty around what'll come out of the Microsoft/GitHub union
Can be overwhelming at times",Don't lose track of what makes GitHub great during the MSFT venture,5.0,5.0,5.0,,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,
0,0,0,"April 27, 2020",16:43:57,Great company and culture, Solutions Engineer,,Former Employee ,full-time, more than 3 years,0,"Event and vibe, energy in the group",a lot of travel in the region,,5.0,4.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,
0,0,0,"March 20, 2020",09:05:42,Software Engineer, Senior Software Engineer,,Current Employee ,part-time,,0,"Colaborative work, technologic, up to date","Low work from home, oportunities",,5.0,,,,,,,,,,
0,0,0,"January 7, 2020",19:33:41,Growing pains; fun but dysfunctional, Senior Software Engineer,,Former Employee ,full-time, more than 3 years,3,"Some seriously talented and caring coworkers, working at huge scale.","Mismanagement is almost endemic; expect initiatives to be taken up wholeheartedly, then dropped a few months later. The Microsoft acquisition has not been great, and the SLT have burnt so much goodwill.",,3.0,4.0,3.0,,3.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,
0,0,0,"October 31, 2019",03:41:14,Lots of favoritism, Support,,Current Employee ,full-time,,4,For pros I would say you can work remotely,"GitHub is overrated, no career opportunities, lots of favoritism",,3.0,5.0,2.0,,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,Approves of CEO,
0,0,1,"October 14, 2019",10:51:00,Senior Software Engineer,,,Current Employee ,full-time,,0,"Good work environment , challenging work","Nothing much, Unable to adjust work life balance due to workloads",,5.0,3.0,3.0,,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO,
0,0,1,"August 22, 2019",07:38:04,pros,,,Current Employee ,part-time,,0,Very useful to learn new things,Nothing cons in this github,Learn to use github efficiently,5.0,,,,,,,,,,
0,0,0,"May 6, 2019",11:57:41,A pretty good company to work for, Solutions Engineer,,Current Employee ,full-time, more than a year,4,"Great remote culture, a lot (but a lot) of great and smart people still around even after IPO, very good benefits (5month parental leave), decent learning budget, tooling and hardware at your choice. New CEO appears to be the real deal.",Still a US SF company (lots of politics) but nothing out of the ordinary. Some departments just don't work no matter how many (different) people you throw at it.,Manage less.,4.0,4.0,5.0,,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,
0,0,0,"June 25, 2018",18:30:38,Can Working Be this Amazing?, Sales Associate,Sydney,Current Employee ,full-time, less than a year,5,"Working at a company like GitHub certainly is not for everyone. They do place a significant amount of trust on each employee to do what is right for the company, the customer and the values that we have to uphold. In saying this, if you are a self-motivated individual, you should find that GitHub is a place where you can truly thrive!

1. Remote Work. Don't come in with preconceived notions. This is the real deal. You have the autonomy to pretty much create your own workflow. So don't feel guilty about that 30 minute nap after lunch on a Wednesday!

2. Benefits. The benefits rock. Especially the T&E. Nope I'm not gonna be the one to spill the beans but you will be well satisfied upon receiving your benefits package!

3. Positive environment. I read the earlier posts. I am somewhat newer so maybe I am still wearing rose colored glasses. But honestly, there seems to be an extremely positive culture.","1. Sense of Entitlement. I do feel that some workers internally have a sense of entitlement type of feeling. As such, being as GitHub has generally been a company that empowers its workers, anytime something is changed to safeguard the company as a whole, or if something is implemented that doesn't go with someone's exact suggestion, people can get a bit touchy feely about it. (Hence some of the earlier reviews I imagine). The grass is NOT always greener on the other side.

2. Onboarding. I loved onboarding. But it is quite confusing. This is always going to be a challenge with a company that focuses on being distributed like we are. But it is a notable challenge especially to some.","I like my managers and my team. I don't feel as if I am 'too junior,' to sync up with high Leadership on a consistent basis. My overall feeling is that most people are truly trying their best here at GitHub. In so long as you have the will, someone will make a way!",5.0,5.0,4.0,,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,
0,0,1,"February 20, 2018",18:12:03,Growing up is hard,,,Current Employee ,full-time, more than a year,15,,,,3.0,3.0,3.0,,3.0,3.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,
