,featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
29,0,0,1,6 November 2017,20:17:36,Assistant Manager - IT,,,,full-time,,6,"Stable and secure job
Good to nobrainer.","Too frequent internal re-organization
The right people are not assigned to the right positions
Too many clumsy reporting",Respect and fairness is very important to people. you can use a dozen of people to do a single taste or you use any effective way (less people) to finish the taste. It's up to your management culture.,2.0,4.0,2.0,,2.0,5.0,2.0,Doesn't Recommend,Positive Outlook,,,,
30,0,0,0,30 June 2017,20:48:58,Mundane work with not much to learn, Senior Officer,Hong Kong,"30 June 2017
Helpful (1)
""Mundane work with not much to learn""
3.0
★★★★★
Former Employee ",full-time, more than 3 years,1,"Little pressure, routine work, ok compensation compare to the amount of work","Lose competitiveness in the bigger market, other teams not very helpful. People often not capable, high reliance on vendors.","Bring in people who are actually capable of the work, instead of people who only can talk.",3.0,5.0,3.0,,2.0,3.0,3.0,Recommends,Positive Outlook,No Opinion of CEO,,,
31,0,0,0,16 October 2014,12:11:25,Struggle to survive, Assistant Manager,Hong Kong,"16 October 2014
""Struggle to survive""
2.0
★★★★★
Former Employee ",full-time, more than 3 years,0,nothing to work everyday with worry,play politic everyday and quarrel,stop to play politic and be creative,2.0,3.0,1.0,,2.0,3.0,2.0,Doesn't Recommend,Negative Outlook,,,,
32,0,0,0,8 July 2014,06:29:08,Great working environment but slow career advancement, Operations Officer (Office),Hong Kong,"8 July 2014
Helpful (2)
""Great working environment but slow career advancement""
4.0
★★★★★
Current Employee ",full-time, more than a year,2,Good work life balance in general; great medical benefits; 13th month salary available with annual bonus (less than your monthly salary),OT is occasional in some departments. Promotion is usually only possible when there is a vacancy (min 3 years exp required for promoting to Senior Officer).,The poor HR system is the major obstacle for this company to retain quality and experienced staff,4.0,4.0,4.0,,2.0,5.0,4.0,Recommends,Positive Outlook,,,,
33,0,0,0,3 January 2011,22:10:36,A lot of project each year,,Hong Kong,,,,1,A lot of new technology and applications to learn. The salary package is good.,Not much promotion opportunity. Too much internal procedures,Should consider promotion inside the company,3.0,3.0,,,3.0,4.0,2.0,,,,,,
34,0,0,1,8 December 2020,13:36:43,Not for young energetic professionals,,,"8 December 2020
""Not for young energetic professionals""
3.0
★★★★★
Former Employee ",full-time, more than a year,0,"Generous Amount of Annual Leave, Stable Environment",Unclear career path and rigid HR policy,,3.0,4.0,2.0,3.0,2.0,4.0,3.0,Neutral Outlook,,,,,
35,0,0,0,20 October 2020,05:20:46,Back office position, Back Office,,"20 October 2020
""Back office position""
3.0
★★★★★
Former Employee ",full-time, more than a year,0,"Nice working environment, good benefits","Low salary, stagnant promotion opportunities",Value junior staff more rather than only trainees,3.0,4.0,3.0,3.0,2.0,4.0,2.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
36,0,0,0,1 May 2019,02:47:02,Assistant Manager, Assistant Manager,,"1 May 2019
Helpful (1)
""Assistant Manager""
3.0
★★★★★
Current Employee ",full-time, more than 5 years,1,"No pros at all, sign","Too conservative
Too many on9 management",,3.0,3.0,3.0,,3.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,,,
37,0,0,1,5 January 2018,13:52:20,Title Inflation is a big problem here,,,"5 January 2018
""Title Inflation is a big problem here""
4.0
★★★★★
Former Employee ",full-time,,0,You can be a manager with very few work experience. Above average salary. Good work life balance. Laid-back life style.,Unable to find another job after the runway project. Nothing to learn from these managers. Most of the staff are unemployable outside Hong Kong or China.,Enjoy the life there while you can,4.0,5.0,1.0,,1.0,5.0,1.0,Doesn't Recommend,,,,,
38,0,0,1,19 June 2017,01:45:53,Management Trainee,,,"19 June 2017
""Management Trainee""
2.0
★★★★★
Former Employee ",full-time,,0,"Job security
Stability
Attractive remuneration
Work life balance is great and working hours are very reasonable","Local culture
Opportunity for career development is very limited - people tends to work in the same job for years (or until retirement)",,2.0,5.0,3.0,,1.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,,,,
39,0,0,0,10 October 2015,04:17:52,Projects department - great place to work for!,,,,,,0,Learned a lot about the construction aspects of the business,Can't think of any cons of working at the company.,,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,,,,
40,0,0,0,26 November 2012,01:45:57,Humiliating HR policy,,,"26 November 2012
Helpful (7)
""Humiliating HR policy""
1.0
★★★★★
Former Employee ",full-time, more than 5 years,7,"- Good work environment
- OK work life balance, depends on which department you are working for
- Excellent medical scheme","- No expectation on salary increment and promotion
- Promotion only based on ""relationship with management"" instead of achievements and abilities
- Not aggressive in expanding business / improving service","Sack those devils, award those who are capable!",1.0,3.0,2.0,,2.0,2.0,1.0,Doesn't Recommend,Positive Outlook,,,,
41,0,0,0,11 January 2021,06:07:58,No complaints, Research Manager,Hong Kong,"11 January 2021
""No complaints""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"-Career opportunities 
-Competitive compensation 
-Great management 
-Engaged work force 
-Innovative company 
-Global reach",I could nitpick but I personally don’t have any cons.,,5.0,,,,,,,Recommends,Positive Outlook,,,,
42,0,0,0,7 January 2021,05:37:08,Great for experience, Sales Representative,Hong Kong,"7 January 2021
""Great for experience""
5.0
★★★★★
Former Employee ",full-time, more than 3 years,0,A good job for gaining experience. Outside of your typical duties you’ll have limited exposure to clients. The culture is focused on pushing workers to perform at a high level. We’re well supported by all levels of management. Drinking beers on Friday helps to build camaraderie with co-workers.,The long hours are the biggest con.,,5.0,,,,,,,Recommends,Positive Outlook,,,,
43,0,1,0,"22 December 2020
COVID-19",02:12:20,Not perfect but striving to do better, Business Analyst,Central,,full-time, more than a year,0,"Not a perfect company by any means. We’ve had our struggles with morale and turnover. The coronavirus hasn’t made these issues any easier. However, AME Group has proven many times over that they’re willing to work on their faults and support their staff to provide a work environment that’s dedicated to their personal and professional growth. Though not perfect, their hearts are in the right place and that’s all that matters to me.",You can look at the other reviews if you want an idea of the cons we’ve struggled with. I see improvements constantly and can only hope and pray that we continue to strive to do better as a company.,,4.0,,,,,,,Recommends,Positive Outlook,,,,
44,0,0,0,11 December 2020,02:42:16,Employees always come first, Sales Associate,"Kwun Tong, Kowloon City","11 December 2020
""Employees always come first""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,Employees are treated with the respect and dignity they’re due. Being part of a research team is often one of the best ways to learn because younger engineers are paired with senior consultants who provide mentorship and guidance. It’s a well-structured operation that can help you to get your career off the ground.,Pay isn’t the best. No one would complain if the idea of pay raises were floated out there however.,,5.0,,,,,,,Recommends,Positive Outlook,,,,
45,0,0,0,1 December 2020,02:37:04,Strong management at the top, Business Analyst,Hong Kong,"1 December 2020
""Strong management at the top""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,The management are forward facing innovative individuals who are constantly striving towards excellence. There are opportunities to build a career if that’s something you truly want. Management are always on the lookout for the most dedicated employees when it comes time to promote someone. Nothing is given to you. You have to work for what you want.,Communication across offices has its challenges.,You don’t need me to tell you what you need to work on. Focus on your weak points and make the necessary changes.,5.0,,,,,,,Recommends,Positive Outlook,,,,
46,0,0,0,23 November 2020,02:23:53,An amazing company, Senior Business Analyst,Hong Kong,"23 November 2020
""An amazing company""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"If you’re willing and able to invest your energy into working at AME you won’t be sorry. You get an in-depth look into the mining industry that most people don’t get to typically see. Management is always a pleasure to work with. They expect you to work hard, so as long as you’re doing your job and pulling your weight you shouldn’t encounter any problems.",This is a high-pressure environment that will eventually begin to wear on you.,Ignore the naysayers. Continue to strive towards the future and do right by your employees.,5.0,,,,,,,Recommends,Positive Outlook,,,,
47,0,0,0,17 November 2020,03:02:49,I love the culture, Analyst,Hong Kong,"17 November 2020
""I love the culture""
5.0
★★★★★
Former Employee ",full-time, more than a year,0,I made a lot of friends during my time at AME Group. What I liked most about the culture was how tight knit the staff were. We looked out for one another and offered support to newcomers who were going through the onboarding process. The team were highly intelligent and a great group to work with.,We need to double down during the hiring process to avoid hiring the wrong type of people.,Keep up the good work!,5.0,,,,,,,Recommends,Positive Outlook,,,,
48,0,0,0,13 November 2020,02:01:36,A great place to grow, Business Analyst,Hong Kong,"13 November 2020
""A great place to grow""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"AME is great for professional development. The learning curve is steep, but well worth it if you stick it out and learn the commodities industry inside and out. Every day presents a new and interesting challenge. Honestly, I wouldn’t have it any other way.",The training of new hires needs to be more thorough. Morale is an issue that needs to be addressed.,"You’re making strides in the right direction, but there’s room for improvement.",5.0,,,,,,,Recommends,Positive Outlook,,,,
49,0,0,0,1 November 2020,03:22:00,Fantastic work environment, Analyst,Hong Kong,"1 November 2020
Helpful (1)
""Fantastic work environment""
5.0
★★★★★
Current Employee ",full-time, more than a year,1,"This is a company that’s always shifting and evolving to meet the needs of the market. Rarely are we stagnant. This comes with the benefits of staying present with the times, but with the cons of employees lashing out because it’s human nature to resist change. As we sit now, the company is in a great place and I pray that we continue to operate successfully as we move into a new year.",High turnover is an issue because it’s hard to meet managerial expectations.,Pay more attention to morale. If you sense people aren’t happy take quick and decisive action to remedy the issue.,5.0,,,,,,,Recommends,Positive Outlook,,,,
50,0,0,0,8 December 2019,20:16:38,Management should be embarrassed. Fraudulent. Shockingly low benchmark for work quality. Horrible treatment of staff., Analyst,Hong Kong,"8 December 2019
Helpful (19)
""Management should be embarrassed. Fraudulent. Shockingly low benchmark for work quality. Horrible treatment of staff.""
1.0
★★★★★
Former Employee ",full-time, less than a year,19,The fact that I can write this review and empathise with what others have written here. Years later I still think back to how terribly run the business was/is (clearly still the case based on what is written here).,"Shaun Browne is a pathalogical liar. His word is worthless. Not only does he completely overstate his own experience and knowledge base but he must be deluded, regarding AME's standing in the industry. 

Any time an actually knowledgable or competent staff member (very few of these as all AME does is hire, and then overwork/underpay inexperienced staff), proposed (or heaven forbid proactively pursued) real anaysis Shaun would reject the suggestion.....borne out of ego and a deep mistrust for his staff. 

In my time since work at AME (approx 5yrs ago) I have gone on to work in other commoditiy based business and EVERY person I have ever spoken about having worked at AME either A) laughed and we shared stories about the time they worked there to or B) they expressed genuine disbelief at how poor the work from AME is

I laugh now whenever I see material from AME in my day to day. Many times I have actively recommended businesses I am associated with NOT to use AME simply due to its exceptionally poor standard of work.

It is amazing to me the company still has clients. The level of useful, insightful analysis behind the work is shockingly low and out of date. The number of times embarrassing errors were pointed out by clients was endless.","Read these review. Take it on board. Maybe aim for some self improvement. They are written by honest, smart people that you treated poorly. Your reputation in the industry is permantently damaged. 

And how funny are the comments being posted to these reviews? Nothing more clearly demonstrates the management's mind set than the feeble attempts to discredit what a clearly genuine experiences.",1.0,1.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
51,0,0,0,29 December 2017,22:37:06,Strange, Analyst,Hong Kong,"29 December 2017
Helpful (36)
""Strange""
1.0
★★★★★
Former Employee ",full-time,,36,"They pay you and you get to see the other side of the mining industry that you wouldn’t see as a mining professional, I was lucky enough not to be subjected to some of the behaviour from upper management that has been written about in other reviews. The other technical staff were quite helpful and easy to get along with.","While I got along with most of the colleagues at this place there is this underlying tension here that you’d have to cut with a steak knife it’s so thick. The chief is probably one of the most paranoid people I’ve ever worked for, there was a security camera on my floor that was watching people while they worked, which is illegal by the way. I also noticed that one of the administrators would go around to peoples desks and do a kinda roll call making sure everyone was at work, kinda like being back in primary school. Not allowed to send external emails as well which I found strange.",I can totally understand that you need to protect your intellectual property in order to run this business however I have serious concerns about the mental health of upper management due to the strange behaviour that I witnessed while working here. A corporate psychologist would have a field day with AME.,1.0,3.0,1.0,,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
52,0,0,0,21 November 2014,08:56:10,Be careful. Don't join!,Unspecified,Hong Kong,,, less than a year,25,Zero. Apart from meeting innocent victims,"Where to start? 
CEO and upper management are bullies. 
No one lasts more than a year
Only people lasting more than a year are desperate or best buddies with CEO - 3 people who should get out. Life can be better. 
All negative reviews are true here. Pay staff nothing and bully them. Guilt trips and swearing all normal. 
CEO makes people write the good reviews here. ""Career maker if focussed"" is by him or a bestie
They monitor you on video cameras. It has to be illegal",Stop bullying staff and lying to clients.,1.0,1.0,,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,,,
53,0,0,1,18 November 2014,02:29:18,Terrible company. Lies and bullies. No one can last more than 1 y,,Hong Kong,"18 November 2014
Helpful (23)
""Terrible company. Lies and bullies. No one can last more than 1 y""
1.0
★★★★★
Former Employee ",full-time, less than a year,23,Can't think of a pro.,Data quality is really bad. Numbers mostly wrong or guessed. Staff are bullied and senior managers hire and fire all the time. Pay is very low.,Stop lying to clients,1.0,,,,,,,,,,,,
54,0,0,0,29 April 2014,22:57:21,Career destroyer! Think twice before joining.,,,,,,19,"1. Good for changing industry - you will learn so much in no time.
2. Colleages (excl. managements) are nice, friendly and willing to help.","1. Micro-management - half hourly timesheet to fill everyday
2. Workload - expect you to work crazy hour and it's called becoming an expert so you should do this for free
3. Resource - lacking and shocking! Each analyst is doing 2/3 people workload. 
4. Career progression - none unless you can make money for the company.
5. Over promised - always yes to clients even though it is not deliverables. Creative thinking is highly desireable and rewarded!
6. Holiday - 2-3 week compulsory holidays (depend which regional office) over Xmas when it is the quietest period. What can I say? Just do not expect holiday any other time.
7. No analysis - no time for quality analysis. Purely data cruching and desktop research. Clients loves us because they outsource their work to us and we cannot say no.",Stuff turnover for around a year or often less tell you something!,1.0,,,,,,,,,,,,
55,0,0,0,14 April 2014,23:55:44,CEO is the biggest joke of the company, Analyst,,"14 April 2014
Helpful (22)
""CEO is the biggest joke of the company""
1.0
★★★★★
Former Employee ",full-time, more than a year,22,"Steep learning curve, able to pick up the gist of the commodities industry very quickly. Opportunity to attend client meetings and conferences. Great colleagues to work with.","Nice colleagues to work with but senior management is a joke. Lied about education background, work experience and Harvard Phd offers etc. to impress new staff but reality is third tier aussie uni with very poor results.",Lie wisely.,1.0,1.0,1.0,,3.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,,,
56,0,0,0,6 January 2021,14:35:29,"If the staff engagement strategy comprises fake reviews on social media, it speaks volumes of the workplace culture.", Analyst,Sydney,"6 January 2021
Helpful (6)
""If the staff engagement strategy comprises fake reviews on social media, it speaks volumes of the workplace culture.""
1.0
★★★★★
Former Employee ",full-time, less than a year,6,"AME is a well-trodden path from the technical world into financial services. Many have used it as a short stepping stone and done well. A larger number have slipped and died professionally whilst trying.

Depending on the role, some people get the opportunity to meet a lot of people in the industry. It’s a very steep learning curve and some of the on-the-job training for juniors is excellent, albeit self directed.

The company is always hiring. It’s not growing, you’re just being interviewed to replace the last person who was pushed out or got fed up and resigned.","There’s a reason it’s only a stepping stone. It’s a hell hole of a place to work. About 50% of staff don’t make it through the first twelve months either failing probation or being made ‘redundant’. You should only ever accept a position with AME if you are not working and consider it a short term stint whilst you look for something else.

They pay is lousy for what is expected and the work hours are long. Contractual hours are 830am to 6pm with an hour for lunch, or 42.5 hours per week. However leaving at 6pm is frowned upon. One well-known but unwritten KPI is the time you leave. In reality, junior staff should expect to work a 45-50 hour week, and more senior staff 50-55 hours per week. Every week. A call with a client in London can mean you won’t get out of the office until 9pm. There’s no time in lieu, it’s back to the office at 830 the next morning. AME is particularly difficult for people with family commitments.

The horrendous staff turnover saps efficiency and contributes to the longer hours. Efficiency and quality is reduced by forever training new people to do the same thing. For those staff that do manage to hold on to their job, the job satisfaction is low as you can never break free of the tedium. It’s also demoralising watching your friends and colleagues be bullied and sacked one after the other.

The most vile part of AME is the toxic, back-stabbing culture that stems from the owner. He cannot relate to people and has big problems with trust. He can’t be trusted and he trusts no-one. It’s a vicious cycle. He’s convinced that every member of staff is inherently lazy and will do nothing given the opportunity. Every control system (e.g. internal office CCTV, email monitoring, keystroke logging, work hour recording) plays into this his obsession that staff are stealing (time). All decisions and expenses however small go across his desk.

At the same time, staff don’t trust management, and rightfully so given the frequent lies and u-turns. There is no honesty between staff and management. Anyone who objects to the company direction-du-jour will just end up being the next person in line to be bullied until they resign or be ‘retrenched’. Being too committed to one direction might find you favour temporarily, but once the wind changes you’re exposed.

Management is utterly ineffective and concentrated with the owner. Formal management structures have been dissolved and change on a whim. All are designed to play staff off against one another and feed information on supposed individual staff underperformance back to the owner.","If you don’t want Glass Door sit at the top of the Google results when someone searches for AME, stop placing fake reviews. The more often a page is updated, the higher in the search results it is placed by the search engine algorithms. The bland and unrealistic positive reviews invite more comments from staff who would otherwise be silent.",1.0,1.0,1.0,3.0,3.0,1.0,1.0,Doesn't Recommend,Negative Outlook,,,,
57,0,0,1,22 November 2020,23:08:39,What's Going On?,,,"22 November 2020
Helpful (9)
""What's Going On?""
1.0
★★★★★
Former Employee ",full-time, more than a year,9,None. There are no reasons why any sentient lifeform should obtain a job at AME,"The only positive reviews are written by the CEO, or under his direction. The staff turnover here is around 100% annually. There are no overseas offices - the website is fictional on this issue. Check it out - call one of the numbers.",Please stop writing your own reviews on Glassdoor.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,,,,
58,0,0,0,11 November 2020,06:56:47,Worst possible job environment, Research Analyst,Sydney,"11 November 2020
Helpful (9)
""Worst possible job environment""
1.0
★★★★★
Former Employee ",full-time, less than a year,9,"Nothing at all, worst place to work","Racist team leader
They only copy data from google and make profiles that dont even make sense and rip off banks and investors against it.
Highly unprofessional
Highly unsympathetic",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,,,,
59,0,0,0,11 August 2020,05:00:41,Heavily workloading, Analyst,Sydney,"11 August 2020
Helpful (5)
""Heavily workloading""
1.0
★★★★★
Former Employee ",full-time, more than a year,5,salary get reviewed every three month,"long working hours everyday, management team put too much pressure on work",flexible is important,1.0,1.0,1.0,,2.0,2.0,1.0,Doesn't Recommend,Neutral Outlook,,,,
60,0,0,0,23 March 2020,12:16:02,Let’s share our favourite AME experience...,Analyst,,,,,13,"Good colleagues, exceptionally poor management","As we’re all locked down, perhaps we could share some of our memorable experiences at AME?

One of my favourites was one of the many times Shaun decided people in the office were talking to each other too much (about work) so simultaneously switched off the internet and moved everyone’s seats around. 

Random. 

Didn’t have the bottle to tell anyone he’d done it though...",,1.0,1.0,1.0,,1.0,1.0,1.0,Disapproves of CEO,,Disapproves of CEO,,,
